,season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
8449,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,183,0,day_type_01,weekday,2018/01/02 06:05:00+00,Ipswich,10,0.0,1.0,2.0,8450
8450,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,183,0,day_type_01,weekday,2018/01/02 06:10:00+00,Rowley,11,0.0,0.0,2.0,8451
8451,Spring 2018,CR-Providence,Providence/Stoughton Line,826,1,day_type_01,weekday,2018/01/01 21:30:00+00,Attleboro,5,12.0,0.0,75.0,8452
8452,Spring 2018,CR-Providence,Providence/Stoughton Line,806,1,day_type_01,weekday,2018/01/01 11:44:00+00,Attleboro,5,216.0,0.0,629.0,8453
8453,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,165,0,day_type_01,weekday,2018/01/01 21:15:00+00,Rowley,11,0.0,4.0,53.0,8454
8456,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,167,0,day_type_01,weekday,2018/01/01 21:57:00+00,Salem,6,9.0,115.0,365.0,8457
8457,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,167,0,day_type_01,weekday,2018/01/01 22:02:00+00,Beverly,7,8.0,100.0,273.0,8458
8458,Spring 2018,CR-Providence,Providence/Stoughton Line,806,1,day_type_01,weekday,2018/01/01 11:54:00+00,Mansfield,6,302.0,12.0,919.0,8459
8459,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,167,0,day_type_01,weekday,2018/01/01 22:07:00+00,North Beverly,8,0.0,44.0,229.0,8460
8460,Spring 2018,CR-Providence,Providence/Stoughton Line,806,1,day_type_01,weekday,2018/01/01 12:04:00+00,Sharon,7,213.0,2.0,1130.0,8461
8461,Spring 2018,CR-Providence,Providence/Stoughton Line,826,1,day_type_01,weekday,2018/01/01 21:40:00+00,Mansfield,6,10.0,2.0,83.0,8462
8463,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,167,0,day_type_01,weekday,2018/01/01 22:11:00+00,Hamilton/ Wenham,9,7.0,58.0,178.0,8464
8464,Spring 2018,CR-Providence,Providence/Stoughton Line,806,1,day_type_01,weekday,2018/01/01 12:12:00+00,Route 128,11,84.0,2.0,1212.0,8465
8465,Spring 2018,CR-Providence,Providence/Stoughton Line,816,1,day_type_01,weekday,2018/01/01 15:19:00+00,Mansfield,6,55.0,2.0,225.0,8466
8466,Spring 2018,CR-Providence,Providence/Stoughton Line,826,1,day_type_01,weekday,2018/01/01 21:49:00+00,Sharon,7,4.0,4.0,83.0,8467
8467,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,157,0,day_type_01,weekday,2018/01/01 13:36:00+00,Swampscott,5,4.0,6.0,50.0,8468
8468,Spring 2018,CR-Providence,Providence/Stoughton Line,826,1,day_type_01,weekday,2018/01/01 21:56:00+00,Canton Junction,10,4.0,1.0,86.0,8469
8470,Spring 2018,CR-Providence,Providence/Stoughton Line,826,1,day_type_01,weekday,2018/01/01 22:01:00+00,Route 128,11,10.0,13.0,83.0,8471
8471,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,157,0,day_type_01,weekday,2018/01/01 13:43:00+00,Salem,6,10.0,11.0,49.0,8472
8472,Spring 2018,CR-Providence,Providence/Stoughton Line,806,1,day_type_01,weekday,2018/01/01 12:26:00+00,Ruggles,13,10.0,280.0,942.0,8473
8473,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2018/01/02 02:42:00+00,West Gloucester,17,0.0,2.0,26.0,8474
8474,Spring 2018,CR-Providence,Providence/Stoughton Line,826,1,day_type_01,weekday,2018/01/01 22:06:00+00,Hyde Park,12,0.0,4.0,79.0,8475
8475,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,157,0,day_type_01,weekday,2018/01/01 13:47:00+00,Beverly,7,1.0,10.0,40.0,8476
8476,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,191,0,day_type_01,weekday,2018/01/01 12:19:00+00,Chelsea,2,3.0,3.0,18.0,8477
8477,Spring 2018,CR-Providence,Providence/Stoughton Line,816,1,day_type_01,weekday,2018/01/01 15:28:00+00,Sharon,7,21.0,0.0,246.0,8478
8478,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,167,0,day_type_01,weekday,2018/01/01 22:17:00+00,Ipswich,10,0.0,52.0,126.0,8479
8479,Spring 2018,CR-Providence,Providence/Stoughton Line,826,1,day_type_01,weekday,2018/01/01 22:17:00+00,Back Bay,14,10.0,30.0,59.0,8480
8480,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,167,0,day_type_01,weekday,2018/01/01 22:23:00+00,Rowley,11,0.0,15.0,111.0,8481
8483,Spring 2018,CR-Providence,Providence/Stoughton Line,816,1,day_type_01,weekday,2018/01/01 15:37:00+00,Route 128,11,52.0,2.0,296.0,8484
8485,Spring 2018,CR-Providence,Providence/Stoughton Line,806,1,day_type_01,weekday,2018/01/01 12:30:00+00,Back Bay,14,9.0,334.0,617.0,8486
8487,Spring 2018,CR-Providence,Providence/Stoughton Line,816,1,day_type_01,weekday,2018/01/01 15:50:00+00,Ruggles,13,2.0,37.0,261.0,8488
8488,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,191,0,day_type_01,weekday,2018/01/01 12:26:00+00,River Works / GE Employees Only,3,0.0,3.0,15.0,8489
8489,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,157,0,day_type_01,weekday,2018/01/01 13:51:00+00,North Beverly,8,0.0,2.0,38.0,8490
8490,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,125,0,day_type_01,weekday,2018/01/02 02:49:00+00,Gloucester,18,0.0,13.0,13.0,8491
8491,Spring 2018,CR-Providence,Providence/Stoughton Line,828,1,day_type_01,weekday,2018/01/01 22:29:00+00,South Attleboro,4,43.0,0.0,154.0,8492
8493,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,169,0,day_type_01,weekday,2018/01/01 22:27:00+00,Chelsea,2,21.0,41.0,686.0,8494
8494,Spring 2018,CR-Providence,Providence/Stoughton Line,816,1,day_type_01,weekday,2018/01/01 15:54:00+00,Back Bay,14,1.0,143.0,119.0,8495
8495,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,191,0,day_type_01,weekday,2018/01/01 12:28:00+00,Lynn,4,8.0,13.0,10.0,8496
8496,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,157,0,day_type_01,weekday,2018/01/01 13:55:00+00,Hamilton/ Wenham,9,0.0,2.0,36.0,8497
8498,Spring 2018,CR-Providence,Providence/Stoughton Line,828,1,day_type_01,weekday,2018/01/01 22:39:00+00,Attleboro,5,17.0,8.0,163.0,8499
8500,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,169,0,day_type_01,weekday,2018/01/01 22:35:00+00,Lynn,4,2.0,46.0,642.0,8501
8502,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,191,0,day_type_01,weekday,2018/01/01 12:33:00+00,Swampscott,5,7.0,1.0,16.0,8503
8503,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,191,0,day_type_01,weekday,2018/01/01 12:40:00+00,Salem,6,1.0,17.0,0.0,8504
8506,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,193,0,day_type_01,weekday,2018/01/01 21:52:00+00,Chelsea,2,8.0,20.0,245.0,8507
8507,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,193,0,day_type_01,weekday,2018/01/01 22:00:00+00,Lynn,4,7.0,29.0,223.0,8508
8508,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,193,0,day_type_01,weekday,2018/01/01 22:05:00+00,Swampscott,5,0.0,90.0,133.0,8509
8509,Spring 2018,CR-Newburyport,Newburyport/Rockport Line,193,0,day_type_01,weekday,2018/01/01 22:12:00+00,Salem,6,3.0,70.0,66.0,8510
8512,Spring 2018,CR-Providence,Providence/Stoughton Line,800,1,day_type_01,weekday,2018/01/01 10:09:00+00,South Attleboro,4,98.0,0.0,133.0,8513
8513,Spring 2018,CR-Providence,Providence/Stoughton Line,800,1,day_type_01,weekday,2018/01/01 10:19:00+00,Attleboro,5,85.0,1.0,217.0,8514
8514,Spring 2018,CR-Providence,Providence/Stoughton Line,800,1,day_type_01,weekday,2018/01/01 10:29:00+00,Mansfield,6,125.0,1.0,341.0,8515
8515,Spring 2018,CR-Providence,Providence/Stoughton Line,800,1,day_type_01,weekday,2018/01/01 10:38:00+00,Sharon,7,61.0,0.0,402.0,8516
8516,Spring 2018,CR-Providence,Providence/Stoughton Line,800,1,day_type_01,weekday,2018/01/01 10:45:00+00,Canton Junction,10,65.0,0.0,467.0,8517
8517,Spring 2018,CR-Providence,Providence/Stoughton Line,800,1,day_type_01,weekday,2018/01/01 10:50:00+00,Route 128,11,51.0,2.0,516.0,8518
8518,Spring 2018,CR-Providence,Providence/Stoughton Line,800,1,day_type_01,weekday,2018/01/01 10:55:00+00,Hyde Park,12,17.0,3.0,530.0,8519
8519,Spring 2018,CR-Providence,Providence/Stoughton Line,800,1,day_type_01,weekday,2018/01/01 11:04:00+00,Ruggles,13,1.0,122.0,409.0,8520
8520,Spring 2018,CR-Providence,Providence/Stoughton Line,800,1,day_type_01,weekday,2018/01/01 11:08:00+00,Back Bay,14,1.0,156.0,254.0,8521
